date,Open,High,Low,Close,Volume
1970-01-17,0.0,2200.0,0.0,682.02,303356.1482967761
1970-01-18,682.02,19999.0,456.36,14238.85,3111102.669022967
2017-12-22,14238.85,15489.0,10611.0,14970.18,35036.1444333
2017-12-23,14970.18,15894.0,13701.0,14306.01,8498.33048616
2017-12-24,14306.01,14699.0,12600.0,13550.4,9598.50644928
2017-12-25,13550.4,14786.08,13317.0,14690.0,5226.06286299
2017-12-26,14690.0,16150.0,14555.31,15880.0,7286.36966825
2017-12-27,15880.0,16500.0,14000.0,14439.36,11025.7588504
2017-12-28,14439.36,15100.0,13514.81,14881.76,9463.19486386
2017-12-29,14881.76,15115.1,13600.0,13962.62,7099.35999323
2017-12-30,13962.62,14083.39,12481.44,13000.66,8238.10427288
2017-12-31,13000.66,14191.2,12572.0,13372.0,7456.85898879
2018-01-01,13372.0,13860.9,12800.0,13048.56,5430.36368361
2018-01-02,13048.56,15249.97,12851.0,14912.1,8890.25074377
2018-01-03,14912.1,15503.59,14583.47,15100.0,9989.68036563
2018-01-04,15100.0,15200.0,14000.0,14970.0,10517.033806799998
2018-01-05,14970.0,17124.44,14800.0,16567.18,11124.26466
2018-01-06,16567.18,17236.46,16298.31,16710.48,6023.03255226
2018-01-07,16710.48,16856.01,15514.87,15624.35,5795.35628258
2018-01-08,15624.35,16061.98,13825.22,15257.87,12094.4943565
2018-01-09,15257.87,15419.24,14006.0,14158.47,8615.10846019
2018-01-10,14158.47,14970.0,13100.0,13267.19,9778.47777532
2018-01-11,13267.19,14205.4,12810.0,13657.32,10420.9275283
2018-01-12,13657.32,14274.8,13359.0,14187.7,7798.07136594
2018-01-13,14187.7,14550.0,13913.71,14201.67,3914.5934305
2018-01-14,14201.67,14260.69,13100.0,13510.1,4145.15214529
2018-01-15,13510.1,14283.26,12738.3,12880.0,6417.74050336
2018-01-16,12880.0,13195.0,10001.0,10999.0,22529.775436099997
2018-01-17,10999.0,11869.98,9125.0,11376.0,23715.7285091
2018-01-18,11376.0,12110.0,10677.33,11207.65,14843.464815
2018-01-19,11207.65,12018.39,11061.0,11791.44,9109.35799762
2018-01-20,11791.44,12999.0,11625.49,12493.74,5846.82654549
2018-01-21,12493.74,12555.07,11112.0,11476.88,6640.39942047
2018-01-22,11476.88,11865.0,10026.03,10853.37,12448.8653828
2018-01-23,10853.37,11372.51,9940.0,10841.02,9911.57321562
2018-01-24,10841.02,11693.7,10500.0,11645.01,8520.13175272
2018-01-25,11645.01,11645.02,10805.56,11540.0,6803.99726551
2018-01-26,11540.0,11550.0,10300.0,11000.5,8517.78100608
2018-01-27,11000.5,11535.0,10821.76,11375.05,4669.89505496
2018-01-28,11375.05,11878.1,11217.41,11347.72,4343.2246185174
2018-01-29,11347.72,11422.33,10800.0,10918.47,5987.0464962754
2018-01-30,10918.47,11054.2,9555.0,9897.61,13487.8562744878
2018-01-31,9897.61,10299.99,9636.18,9935.42,7705.389112633101
2018-02-01,9935.42,10164.68,8411.11,8673.79,17757.721789351297
2018-02-02,8673.79,9090.0,7603.0,8285.82,20168.3352031448
2018-02-03,8285.82,9494.86,8165.58,9183.98,6382.415172088299
2018-02-04,9183.98,9353.45,7830.79,8118.08,8940.8512339262
2018-02-05,8118.08,8334.0,6158.38,6313.79,26214.929641086
2018-02-06,6313.79,7944.0,5931.34,7262.54,28273.9365305656
2018-02-07,7262.54,8589.0,7200.0,7973.07,14408.6768921397
2018-02-08,7973.07,8638.99,7768.92,8078.39,14589.1471433198
2018-02-09,8078.39,9000.0,7750.0,8945.5,6232.926202564
2018-02-10,8945.5,9069.0,8051.29,8060.0,6384.210561029
2018-02-11,8060.0,8573.0,7824.48,8484.8,5243.7603581794
2018-02-12,8484.8,8985.0,8349.99,8764.99,5087.6132104941
2018-02-13,8764.99,8774.99,8379.0,8704.92,5105.7930307998995
2018-02-14,8704.92,9749.99,8702.88,9666.64,9139.5811308673
2018-02-15,9666.64,10307.6,9502.75,10106.0,8987.9011392113
2018-02-16,10106.0,10500.0,9710.0,10500.0,5377.5718830559
2018-02-17,10500.0,11270.0,10480.0,10851.24,4924.2907370578005
2018-02-18,10851.24,10990.01,10150.0,10537.81,5947.3200637795
2018-02-19,10537.81,11507.0,10403.55,11425.07,4136.9486218176
2018-02-20,11425.07,11750.0,10849.99,10902.0,8642.947934707
2018-02-21,10902.0,11186.0,10248.0,10744.57,10405.5613936067
2018-02-22,10744.57,10939.9,9595.0,9815.34,10538.4640046022
2018-02-23,9815.34,10480.0,9684.44,10410.1,5523.3669110674
2018-02-24,10410.1,10534.77,9388.97,9582.74,5291.3353098292
2018-02-25,9582.74,9870.0,9290.0,9622.46,3193.1866031246996
2018-02-26,9622.46,10433.88,9399.0,10271.72,5708.5654993123
2018-02-27,10271.72,10950.0,10215.78,10908.9,6093.6271579309
2018-02-28,10908.9,11050.0,10200.0,10354.0,5624.5558600598
2018-03-01,10354.0,11200.0,10336.01,11102.3,5234.3286056338
2018-03-02,11102.3,11365.0,10779.44,11283.37,3574.4169434534997
2018-03-03,11283.37,11484.98,11109.0,11158.51,1638.8123941994
2018-03-04,11158.51,11575.98,11060.01,11551.01,1882.05909038
2018-03-05,11551.01,11650.01,11175.0,11249.88,3538.1375086451003
2018-03-06,11249.88,11328.73,10563.93,10735.22,4754.1059441269
2018-03-07,10735.22,10815.41,9375.0,9562.28,11595.3126383251
2018-03-08,9562.28,10100.0,8872.91,8986.47,8997.6938692121
2018-03-09,8986.47,9430.0,8370.0,9249.99,10690.0767800029
2018-03-10,9249.99,9515.21,8544.95,8648.35,3603.8802276942
2018-03-11,8648.35,9772.42,8578.1,9439.6,4806.4800046019
2018-03-12,9439.6,9898.0,8760.0,9061.57,8050.194926156701
2018-03-13,9061.57,9500.0,8850.0,9259.03,5461.6297621119
2018-03-14,9259.03,9259.03,7749.0,7889.99,11379.0243021945
2018-03-15,7889.99,8416.92,7675.35,8042.9,9378.6517544868
2018-03-16,8042.9,8607.11,8037.5,8220.82,5750.8191161756
2018-03-17,8220.82,8350.0,7551.0,7676.9,4815.1032048637
2018-03-18,7676.9,8439.99,7319.0,8174.2,10289.2131733486
2018-03-19,8174.2,8744.68,8120.0,8603.0,8074.7440239289
2018-03-20,8603.0,9060.0,8327.35,9038.4,7370.1114425475
2018-03-21,9038.4,9180.0,8755.0,9033.87,6105.6690499137
2018-03-22,9033.87,9065.71,8337.74,8415.89,7160.9492335148
2018-03-23,8415.89,8990.0,8288.01,8910.0,4856.6692266558
2018-03-24,8910.0,9000.0,8450.0,8557.8,3556.118093218
2018-03-25,8557.8,8687.3,8340.65,8431.94,3611.5807860363
2018-03-26,8431.94,8489.99,7818.1,7860.36,7735.9176207653
2018-03-27,7860.36,8141.72,7749.53,7871.0,6316.3953389342005
2018-03-28,7871.0,8095.0,7813.38,7871.8,5081.2793956081
2018-03-29,7871.8,7872.84,6672.72,6863.66,14780.510009699
2018-03-30,6863.66,7271.9,6600.0,6969.5,8427.8452904702
2018-03-31,6969.5,7242.47,6788.51,6922.75,4120.7631687134
2018-04-01,6922.75,7033.53,6442.49,6988.89,7126.7027364495
2018-04-02,6988.89,7189.27,6851.5,7187.64,5041.3998194496
2018-04-03,7187.64,7500.0,7187.64,7296.06,7513.8377994264
2018-04-04,7296.06,7387.95,6574.3,6775.71,7207.2105826725
2018-04-05,6775.71,6923.01,6626.26,6769.44,6291.4869982252
2018-04-06,6769.44,6848.0,6512.79,6592.94,5119.833489699
2018-04-07,6592.94,7069.18,6592.94,6968.14,2554.2931129917
2018-04-08,6968.14,7166.82,6900.0,7128.1,2988.2282706723
2018-04-09,7128.1,7176.99,6612.35,6793.44,4443.5365310309
2018-04-10,6793.44,6876.33,6651.12,6820.83,2587.3087093548997
2018-04-11,6820.83,6966.84,6801.68,6943.83,3419.9916126501003
2018-04-12,6943.83,8076.83,6766.18,7812.7,11326.7947638849
2018-04-13,7812.7,8223.58,7749.28,8043.79,7322.9598185978
2018-04-14,8043.79,8175.86,7873.5,8087.52,1976.8764318182
2018-04-15,8087.52,8415.0,8053.76,8160.27,3610.1584667825
2018-04-16,8160.27,8160.76,7900.0,8026.21,3565.6001345105
2018-04-17,8026.21,8165.07,7820.01,7935.0,2853.9765159242997
2018-04-18,7935.0,8265.0,7880.0,8192.27,3532.9203437441997
2018-04-19,8192.27,8398.9,8096.0,8337.84,3320.9915104372
2018-04-20,8337.84,8932.16,8215.0,8868.98,4448.6349905221
2018-04-21,8868.98,9038.0,8602.08,8821.39,3352.2523656501003
2018-04-22,8821.39,9017.0,8755.0,8871.0,1360.6847710348
2018-04-23,8871.0,9214.0,8805.95,9199.95,3104.7479493355
2018-04-24,9199.95,9762.75,9199.95,9393.57,6119.9998041572
2018-04-25,9393.57,9519.85,8660.0,8815.0,6999.2712380124
2018-04-26,8815.0,9315.24,8666.49,9149.99,3388.2049826907
2018-04-27,9149.99,9368.0,8880.01,9150.01,3207.2854665975
2018-04-28,9150.01,9522.12,9065.14,9447.92,3038.2675191154
2018-04-29,9447.92,9480.0,9176.76,9266.31,1479.1932122673002
2018-04-30,9266.31,9345.99,8854.91,8953.48,3553.498559186
2018-05-01,8953.48,9099.99,8816.08,9031.57,2555.6237718745997
2018-05-02,9031.57,9273.23,9025.25,9254.85,2877.3684124971
2018-05-03,9254.85,9786.01,9163.25,9590.94,5227.268393087
2018-05-04,9590.94,9850.0,9552.0,9813.56,3350.0281907702
2018-05-05,9813.56,9940.0,9668.67,9827.57,1566.5943013712
2018-05-06,9827.57,9849.2,9230.0,9325.0,2176.591684654
2018-05-07,9325.0,9450.0,9175.0,9430.2,2872.1228858864
2018-05-08,9430.2,9430.2,9001.25,9045.68,2975.9346326162
2018-05-09,9045.68,9360.01,8953.26,9329.6,3549.0816139605
2018-05-10,9329.6,9387.98,8870.9,8936.18,3620.1513432681
2018-05-11,8936.18,9022.05,8350.18,8418.44,4027.9549933439
2018-05-12,8418.44,8647.84,8221.0,8444.63,2991.7302629168
